"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Liechtenstein","2004","Male","Not applicable","Percent","60.09852"
"Liechtenstein","2004","Female","Not applicable","Percent","47.13979"
"Liechtenstein","2003","Female","Not applicable","Percent","56.63661"
"Liechtenstein","2003","Male","Not applicable","Percent","69.95708"
"Liechtenstein","2003","All genders","Not applicable","Percent","63.50405"
"Lithuania","2014","Female","Not applicable","Percent","91.62896"
"Lithuania","2014","Male","Not applicable","Percent","93.12968"
"Lithuania","2014","All genders","Not applicable","Percent","92.39587"
"Luxembourg","2013","Male","Not applicable","Percent","85.84967"
"Luxembourg","2013","All genders","Not applicable","Percent","87.33794"
"Luxembourg","2013","Female","Not applicable","Percent","88.91976"
"Luxembourg","2011","All genders","Not applicable","Percent","85.47599"
"Luxembourg","2011","Male","Not applicable","Percent","84.56289"
"Luxembourg","2011","Female","Not applicable","Percent","86.45906"
"Luxembourg","2010","Male","Not applicable","Percent","87.81609"
"Luxembourg","2010","Female","Not applicable","Percent","88.28511"
"Luxembourg","2010","All genders","Not applicable","Percent","88.04218"
"Luxembourg","2001","Male","Not applicable","Percent","83.96075"
"Luxembourg","2001","All genders","Not applicable","Percent","86.06575"
"Luxembourg","2001","Female","Not applicable","Percent","88.28541"
"Madagascar","2012","Male","Not applicable","Percent","75.78925"
"Madagascar","2012","Female","Not applicable","Percent","77.55255"
"Madagascar","2012","All genders","Not applicable","Percent","76.66576"
"Madagascar","2010","Male","Not applicable","Percent","79.27648"
"Madagascar","2010","All genders","Not applicable","Percent","80.08626"
"Madagascar","2010","Female","Not applicable","Percent","80.90311"
"Madagascar","2008","Male","Not applicable","Percent","80.26681"
"Madagascar","2008","Female","Not applicable","Percent","81.49655"
"Madagascar","2008","All genders","Not applicable","Percent","80.88006"
"Madagascar","2007","Male","Not applicable","Percent","82.06251"
"Madagascar","2007","All genders","Not applicable","Percent","82.46664"
"Madagascar","2007","Female","Not applicable","Percent","82.87228"
"Madagascar","2006","Male","Not applicable","Percent","80.72871"
"Madagascar","2006","Female","Not applicable","Percent","81.26021"
"Madagascar","2006","All genders","Not applicable","Percent","80.99414"
"Madagascar","2005","Male","Not applicable","Percent","70.51611"
"Madagascar","2005","Female","Not applicable","Percent","70.56743"
"Madagascar","2005","All genders","Not applicable","Percent","70.54175"
"Madagascar","2003","Female","Not applicable","Percent","62.74861"
"Madagascar","2003","All genders","Not applicable","Percent","62.06875"
"Madagascar","2003","Male","Not applicable","Percent","61.38911"
"Malawi","2012","Male","Not applicable","Percent","82.29431"
"Malawi","2012","Female","Not applicable","Percent","86.67587"
"Malawi","2012","All genders","Not applicable","Percent","84.47649"
"Malawi","2011","Female","Not applicable","Percent","80.79012"
"Malawi","2011","All genders","Not applicable","Percent","78.92179"
"Malawi","2011","Male","Not applicable","Percent","77.06748"
"Malawi","2010","Female","Not applicable","Percent","82.75996"
"Malawi","2010","Male","Not applicable","Percent","79.47128"
"Malawi","2010","All genders","Not applicable","Percent","81.10925"
"Malawi","2009","Female","Not applicable","Percent","80.19153"
"Malawi","2009","All genders","Not applicable","Percent","78.5282"
"Malawi","2009","Male","Not applicable","Percent","76.87769"
"Malawi","2008","Female","Not applicable","Percent","78.66347"
"Malawi","2008","Male","Not applicable","Percent","74.17566"
"Malawi","2008","All genders","Not applicable","Percent","76.4106"
"Malawi","2007","Female","Not applicable","Percent","76.71957"
"Malawi","2007","All genders","Not applicable","Percent","74.18903"
"Malawi","2007","Male","Not applicable","Percent","71.67892"
"Malawi","2006","Female","Not applicable","Percent","68.83072"
"Malawi","2006","Male","Not applicable","Percent","63.86053"
"Malawi","2006","All genders","Not applicable","Percent","66.33581"
"Maldives","2008","Female","Not applicable","Percent","69.29976"
"Maldives","2008","Male","Not applicable","Percent","69.34258"
"Maldives","2008","All genders","Not applicable","Percent","69.32163"
"Maldives","2007","All genders","Not applicable","Percent","74.37354"
"Maldives","2002","Male","Not applicable","Percent","83.97424"
"Maldives","2002","All genders","Not applicable","Percent","84.16939"
"Maldives","2002","Female","Not applicable","Percent","84.3785"
"Maldives","2001","Male","Not applicable","Percent","85.30466"
"Maldives","2001","Female","Not applicable","Percent","86.23757"
"Maldives","2001","All genders","Not applicable","Percent","85.75385"
"Maldives","2000","Male","Not applicable","Percent","84.67566"
"Maldives","2000","All genders","Not applicable","Percent","84.40409"
"Maldives","2000","Female","Not applicable","Percent","84.11215"
"Maldives","1999","Male","Not applicable","Percent","78.77763"
"Maldives","1999","Female","Not applicable","Percent","79.82315"
"Maldives","1999","All genders","Not applicable","Percent","79.28233"
"Mali","2012","Female","Not applicable","Percent","15.8823"
"Mali","2012","All genders","Not applicable","Percent","16.8432"
"Mali","2012","Male","Not applicable","Percent","17.76707"
"Mali","2011","Female","Not applicable","Percent","18.82021"
"Mali","2011","Male","Not applicable","Percent","20.96541"
"Mali","2011","All genders","Not applicable","Percent","19.91343"
"Mali","2010","Female","Not applicable","Percent","18.4778"
"Mali","2010","All genders","Not applicable","Percent","19.70324"
"Mali","2010","Male","Not applicable","Percent","20.88256"
"Mali","2009","Female","Not applicable","Percent","19.51176"
"Mali","2009","Male","Not applicable","Percent","23.05604"
"Mali","2009","All genders","Not applicable","Percent","21.31724"
"Mali","2008","Female","Not applicable","Percent","24.49762"
"Mali","2008","All genders","Not applicable","Percent","26.39641"
"Mali","2008","Male","Not applicable","Percent","28.22686"
"Mali","2007","Female","Not applicable","Percent","23.21723"
"Mali","2007","Male","Not applicable","Percent","26.78334"
"Mali","2007","All genders","Not applicable","Percent","25.03215"
"Mali","2006","Female","Not applicable","Percent","25.26241"
"Mali","2006","Male","Not applicable","Percent","29.57767"
"Mali","2006","All genders","Not applicable","Percent","27.4581"
"Mali","2005","Male","Not applicable","Percent","28.40987"
"Mali","2005","All genders","Not applicable","Percent","25.96979"
"Mali","2005","Female","Not applicable","Percent","23.44135"
"Mali","2004","Male","Not applicable","Percent","28.34858"
"Mali","2004","Female","Not applicable","Percent","23.26127"
"Mali","2004","All genders","Not applicable","Percent","25.85013"
"Mali","2003","All genders","Not applicable","Percent","25.93036"
"Mali","2003","Female","Not applicable","Percent","23.35417"
"Mali","2003","Male","Not applicable","Percent","28.4171"
"Malta","2007","Male","Not applicable","Percent","65.37445"
"Malta","2007","Female","Not applicable","Percent","63.82601"
"Malta","2007","All genders","Not applicable","Percent","64.60314"
"Malta","2006","Male","Not applicable","Percent","63.70495"
"Malta","2006","All genders","Not applicable","Percent","67.07343"
"Malta","2006","Female","Not applicable","Percent","70.59081"
"Marshall Islands","2011","All genders","Not applicable","Percent","99.01029"
"Marshall Islands","2002","Female","Not applicable","Percent","74.62687"
"Marshall Islands","2002","Male","Not applicable","Percent","71.27981"
"Marshall Islands","2002","All genders","Not applicable","Percent","72.91495"
"Mauritania","2014","Male","Not applicable","Percent","41.50808"
"Mauritania","2014","All genders","Not applicable","Percent","41.54454"
"Mauritania","2014","Female","Not applicable","Percent","41.58211"
"Mauritania","2013","All genders","Not applicable","Percent","35.9708"
"Mauritania","2013","Female","Not applicable","Percent","37.46217"
"Mauritania","2013","Male","Not applicable","Percent","34.52296"
"Mauritania","2012","All genders","Not applicable","Percent","36.71619"
"Mauritania","2012","Male","Not applicable","Percent","36.28083"
"Mauritania","2012","Female","Not applicable","Percent","37.16444"
"Mauritania","2011","All genders","Not applicable","Percent","34.91716"
"Mauritania","2011","Female","Not applicable","Percent","35.4494"
"Mauritania","2011","Male","Not applicable","Percent","34.39994"
"Mauritania","2010","Female","Not applicable","Percent","32.86943"
"Mauritania","2010","Male","Not applicable","Percent","31.61343"
"Mauritania","2010","All genders","Not applicable","Percent","32.23252"
"Mauritania","2009","Female","Not applicable","Percent","33.55871"
"Mauritania","2009","All genders","Not applicable","Percent","33.26909"
"Mauritania","2009","Male","Not applicable","Percent","32.9874"
"Mauritania","2008","Female","Not applicable","Percent","34.59043"
"Mauritania","2008","Male","Not applicable","Percent","34.38355"
"Mauritania","2008","All genders","Not applicable","Percent","34.48559"
"Mauritania","2007","Female","Not applicable","Percent","34.02647"
"Mauritania","2007","All genders","Not applicable","Percent","34.2925"
"Mauritania","2007","Male","Not applicable","Percent","34.55154"
"Mauritania","2006","Female","Not applicable","Percent","35.04894"
"Mauritania","2006","Male","Not applicable","Percent","34.86047"
"Mauritania","2006","All genders","Not applicable","Percent","34.95345"
"Mauritania","2005","Female","Not applicable","Percent","34.6178"
"Mauritania","2005","All genders","Not applicable","Percent","34.57548"
"Mauritania","2005","Male","Not applicable","Percent","34.53434"
"Mauritania","2004","Female","Not applicable","Percent","38.29828"
"Mauritania","2004","Male","Not applicable","Percent","39.37991"
"Mauritania","2004","All genders","Not applicable","Percent","38.84736"
"Mauritania","2003","Female","Not applicable","Percent","33.72891"
"Mauritania","2003","All genders","Not applicable","Percent","33.99416"
"Mauritania","2003","Male","Not applicable","Percent","34.25087"
"Mauritania","2001","Female","Not applicable","Percent","27.89367"
"Mauritania","2001","Male","Not applicable","Percent","28.05917"
"Mauritania","2001","All genders","Not applicable","Percent","27.97788"
"Mauritius","2014","All genders","Not applicable","Percent","80.68123"
"Mauritius","2014","Female","Not applicable","Percent","81.64449"
"Mauritius","2014","Male","Not applicable","Percent","79.7539"
"Mauritius","2013","Female","Not applicable","Percent","84.57956"
"Mauritius","2013","Male","Not applicable","Percent","82.64923"
"Mauritius","2013","All genders","Not applicable","Percent","83.59563"
"Mauritius","2012","Female","Not applicable","Percent","69.62208"
"Mauritius","2012","All genders","Not applicable","Percent","69.90126"
"Mauritius","2012","Male","Not applicable","Percent","70.16937"
"Mauritius","2011","All genders","Not applicable","Percent","86.02829"
"Mauritius","2011","Male","Not applicable","Percent","85.14552"
"Mauritius","2011","Female","Not applicable","Percent","86.94809"
"Mauritius","2010","All genders","Not applicable","Percent","83.48787"
"Mauritius","2010","Female","Not applicable","Percent","85.1022"
"Mauritius","2010","Male","Not applicable","Percent","81.93775"
"Mauritius","2009","All genders","Not applicable","Percent","83.19453"
"Mauritius","2009","Male","Not applicable","Percent","82.8411"
"Mauritius","2009","Female","Not applicable","Percent","83.56253"
"Mauritius","2008","Male","Not applicable","Percent","80.84622"
"Mauritius","2008","Female","Not applicable","Percent","83.11143"
"Mauritius","2008","All genders","Not applicable","Percent","81.95645"
"Mauritius","2007","Male","Not applicable","Percent","81.30932"
"Mauritius","2007","All genders","Not applicable","Percent","82.32816"
"Mauritius","2007","Female","Not applicable","Percent","83.3859"
"Mauritius","2001","Male","Not applicable","Percent","60.48065"
"Mauritius","2001","Female","Not applicable","Percent","62.40007"
"Mauritius","2001","All genders","Not applicable","Percent","61.42812"
"Mauritius","1998","Male","Not applicable","Percent","74.54349"
"Mauritius","1998","All genders","Not applicable","Percent","74.73689"
"Mauritius","1998","Female","Not applicable","Percent","74.93538"
"Mexico","2014","Male","Not applicable","Percent","70.8591"
"Mexico","2014","All genders","Not applicable","Percent","71.20493"
"Mexico","2014","Female","Not applicable","Percent","71.56614"
"Mexico","2010","Female","Not applicable","Percent","73.04318"
"Mexico","2010","All genders","Not applicable","Percent","72.88186"
"Mexico","2010","Male","Not applicable","Percent","72.72637"
"Mexico","2008","Male","Not applicable","Percent","79.61529"
"Mexico","2008","All genders","Not applicable","Percent","79.67953"
"Mexico","2008","Female","Not applicable","Percent","79.74594"
"Mexico","2007","Male","Not applicable","Percent","84.33611"
"Mexico","2007","Female","Not applicable","Percent","84.58619"
"Mexico","2007","All genders","Not applicable","Percent","84.45914"
"Mexico","2006","Male","Not applicable","Percent","80.908"
"Mexico","2006","All genders","Not applicable","Percent","80.86707"
"Mexico","2006","Female","Not applicable","Percent","80.82482"
"Mexico","2005","Male","Not applicable","Percent","80.92854"
"Mexico","2005","Female","Not applicable","Percent","80.46599"
"Mexico","2005","All genders","Not applicable","Percent","80.70088"
"Mexico","2004","Male","Not applicable","Percent","81.31698"
"Mexico","2004","All genders","Not applicable","Percent","81.15499"
"Mexico","2004","Female","Not applicable","Percent","80.98796"
"Mexico","2003","Male","Not applicable","Percent","83.98697"
"Mexico","2003","Female","Not applicable","Percent","84.04008"
"Mexico","2003","All genders","Not applicable","Percent","84.01313"
"Mexico","2002","Male","Not applicable","Percent","85.75625"
"Mexico","2002","All genders","Not applicable","Percent","85.79536"
"Mexico","2002","Female","Not applicable","Percent","85.83565"
"Mexico","2001","Male","Not applicable","Percent","84.44674"
"Mexico","2001","Female","Not applicable","Percent","84.35297"
"Mexico","2001","All genders","Not applicable","Percent","84.40057"
"Mexico","2000","Male","Not applicable","Percent","84.78188"
"Mexico","2000","All genders","Not applicable","Percent","84.896"
"Mexico","2000","Female","Not applicable","Percent","85.01389"
"Mexico","1999","All genders","Not applicable","Percent","85.20808"
"Mexico","1999","Female","Not applicable","Percent","85.43258"
"Mexico","1999","Male","Not applicable","Percent","84.99104"
"Micronesia, Federated States of","2014","Male","Not applicable","Percent","54.22477"
"Micronesia, Federated States of","2014","Female","Not applicable","Percent","51.5473"
"Micronesia, Federated States of","2014","All genders","Not applicable","Percent","52.93617"
"Moldova","2014","Male","Not applicable","Percent","75.34717"
"Moldova","2014","All genders","Not applicable","Percent","73.82363"
"Moldova","2014","Female","Not applicable","Percent","72.23248"
"Moldova","2013","All genders","Not applicable","Percent","74.4974"
"Moldova","2013","Female","Not applicable","Percent","73.53797"
"Moldova","2013","Male","Not applicable","Percent","75.40532"
"Moldova","2012","All genders","Not applicable","Percent","75.8894"
"Moldova","2012","Male","Not applicable","Percent","77.31826"
"Moldova","2012","Female","Not applicable","Percent","74.36053"
"Moldova","2011","All genders","Not applicable","Percent","76.01779"
"Moldova","2011","Male","Not applicable","Percent","77.24179"
"Moldova","2011","Female","Not applicable","Percent","74.71651"
"Moldova","2010","Male","Not applicable","Percent","78.05425"
"Moldova","2010","Female","Not applicable","Percent","75.57606"
"Moldova","2010","All genders","Not applicable","Percent","76.85142"
"Moldova","2009","Male","Not applicable","Percent","75.53431"
"Moldova","2009","All genders","Not applicable","Percent","74.42661"
"Moldova","2009","Female","Not applicable","Percent","73.25246"
"Moldova","2008","Male","Not applicable","Percent","77.97908"
"Moldova","2008","Female","Not applicable","Percent","73.80388"
"Moldova","2008","All genders","Not applicable","Percent","75.94811"
"Moldova","2007","Male","Not applicable","Percent","76.69536"
"Moldova","2007","All genders","Not applicable","Percent","75.94401"
"Moldova","2007","Female","Not applicable","Percent","75.15427"
"Moldova","2006","Male","Not applicable","Percent","70.89269"
"Moldova","2006","Female","Not applicable","Percent","70.65401"
"Moldova","2006","All genders","Not applicable","Percent","70.77707"
"Moldova","2005","Male","Not applicable","Percent","73.60647"
"Moldova","2005","All genders","Not applicable","Percent","72.63597"
"Moldova","2005","Female","Not applicable","Percent","71.62595"
"Mongolia","2014","All genders","Not applicable","Percent","93.43027"
"Mongolia","2014","Female","Not applicable","Percent","92.71822"
"Mongolia","2014","Male","Not applicable","Percent","94.12633"
"Mongolia","2013","Male","Not applicable","Percent","85.13169"
"Mongolia","2013","Female","Not applicable","Percent","82.20493"
"Mongolia","2013","All genders","Not applicable","Percent","83.68487"
"Mongolia","2012","All genders","Not applicable","Percent","84.91702"
"Mongolia","2012","Female","Not applicable","Percent","83.64441"
"Mongolia","2012","Male","Not applicable","Percent","86.16182"
"Mongolia","2011","Male","Not applicable","Percent","87.83109"
"Mongolia","2011","Female","Not applicable","Percent","86.97613"
"Mongolia","2011","All genders","Not applicable","Percent","87.40818"
"Mongolia","2010","All genders","Not applicable","Percent","87.61534"
"Mongolia","2010","Female","Not applicable","Percent","86.52981"
"Mongolia","2010","Male","Not applicable","Percent","88.679"
"Mongolia","2009","Male","Not applicable","Percent","81.05304"
"Mongolia","2009","Female","Not applicable","Percent","81.67399"
"Mongolia","2009","All genders","Not applicable","Percent","81.36061"
"Mongolia","2007","All genders","Not applicable","Percent","72.03956"
"Mongolia","2007","Male","Not applicable","Percent","73.95924"
"Mongolia","2007","Female","Not applicable","Percent","70.08912"
"Mongolia","2006","Female","Not applicable","Percent","76.95501"
"Mongolia","2006","Male","Not applicable","Percent","78.79633"
"Mongolia","2006","All genders","Not applicable","Percent","77.88324"
"Mongolia","2004","All genders","Not applicable","Percent","59.98942"
"Mongolia","2004","Male","Not applicable","Percent","62.07231"
"Mongolia","2004","Female","Not applicable","Percent","57.86034"
"Mongolia","2003","Female","Not applicable","Percent","67.14591"
"Mongolia","2003","Male","Not applicable","Percent","68.6773"
"Mongolia","2003","All genders","Not applicable","Percent","67.9203"
"Mongolia","2002","All genders","Not applicable","Percent","63.54101"
"Mongolia","2002","Male","Not applicable","Percent","64.17431"
"Mongolia","2002","Female","Not applicable","Percent","62.89501"
"Mongolia","2001","Female","Not applicable","Percent","72.22684"
"Mongolia","2001","Male","Not applicable","Percent","74.87544"
"Mongolia","2001","All genders","Not applicable","Percent","73.56065"
"Mongolia","2000","All genders","Not applicable","Percent","74.96035"
"Mongolia","2000","Male","Not applicable","Percent","75.79375"
"Mongolia","2000","Female","Not applicable","Percent","74.11803"
"Mongolia","1999","Female","Not applicable","Percent","80.31469"
"Mongolia","1999","Male","Not applicable","Percent","82.80933"
"Mongolia","1999","All genders","Not applicable","Percent","81.56568"
"Montenegro","2015","Female","Not applicable","Percent","93.52311"
"Montenegro","2015","All genders","Not applicable","Percent","93.77041"
"Montenegro","2015","Male","Not applicable","Percent","93.99952"
"Montserrat","2007","Female","Not applicable","Percent","56.25"
"Montserrat","2007","Male","Not applicable","Percent","41.02564"
"Montserrat","2007","All genders","Not applicable","Percent","47.88732"
"Montserrat","2004","Male","Not applicable","Percent","49.14005"
"Montserrat","2004","Female","Not applicable","Percent","66.66667"
"Montserrat","2004","All genders","Not applicable","Percent","56.98779"
"Morocco","2014","Female","Not applicable","Percent","76.20248"
"Morocco","2014","Male","Not applicable","Percent","76.49976"
"Morocco","2014","All genders","Not applicable","Percent","76.35482"
"Morocco","2013","Male","Not applicable","Percent","76.99437"
"Morocco","2013","All genders","Not applicable","Percent","76.68692"
"Morocco","2013","Female","Not applicable","Percent","76.3639"
"Morocco","2011","Male","Not applicable","Percent","78.97603"
"Morocco","2011","Female","Not applicable","Percent","77.99403"
"Morocco","2011","All genders","Not applicable","Percent","78.49746"
"Morocco","2010","Male","Not applicable","Percent","77.70133"
"Morocco","2010","All genders","Not applicable","Percent","77.16793"
"Morocco","2010","Female","Not applicable","Percent","76.60696"
"Morocco","2008","Male","Not applicable","Percent","76.74498"
"Morocco","2008","Female","Not applicable","Percent","75.49823"
"Morocco","2008","All genders","Not applicable","Percent","76.13709"
"Morocco","2007","Male","Not applicable","Percent","87.01969"
"Morocco","2007","All genders","Not applicable","Percent","86.23528"
"Morocco","2007","Female","Not applicable","Percent","85.41088"
"Morocco","2006","Male","Not applicable","Percent","85.42383"
"Morocco","2006","Female","Not applicable","Percent","83.3431"
"Morocco","2006","All genders","Not applicable","Percent","84.40956"
"Morocco","2005","All genders","Not applicable","Percent","84.32769"
"Morocco","2005","Male","Not applicable","Percent","85.48661"
"Morocco","2005","Female","Not applicable","Percent","83.10916"
"Morocco","2004","Female","Not applicable","Percent","80.65864"
"Morocco","2004","Male","Not applicable","Percent","82.89078"
"Morocco","2004","All genders","Not applicable","Percent","81.80222"
"Morocco","2003","All genders","Not applicable","Percent","80.36702"
"Morocco","2003","Male","Not applicable","Percent","81.81065"
"Morocco","2003","Female","Not applicable","Percent","78.85224"
"Morocco","2002","Female","Not applicable","Percent","76.81738"
"Morocco","2002","Male","Not applicable","Percent","79.28951"
"Morocco","2002","All genders","Not applicable","Percent","78.08246"
"Morocco","2001","All genders","Not applicable","Percent","69.08649"
"Morocco","2001","Male","Not applicable","Percent","70.39688"
"Morocco","2001","Female","Not applicable","Percent","67.7143"
"Morocco","2000","Female","Not applicable","Percent","58.65942"
"Morocco","2000","Male","Not applicable","Percent","61.81411"
"Morocco","2000","All genders","Not applicable","Percent","60.27345"
"Morocco","1999","All genders","Not applicable","Percent","49.87586"
"Morocco","1999","Male","Not applicable","Percent","51.52198"
"Morocco","1999","Female","Not applicable","Percent","48.15102"
"Mozambique","2014","All genders","Not applicable","Percent","73.80757"
"Mozambique","2014","Female","Not applicable","Percent","73.08345"
"Mozambique","2014","Male","Not applicable","Percent","74.52564"
"Mozambique","2013","Female","Not applicable","Percent","69.76802"
"Mozambique","2013","Male","Not applicable","Percent","70.90686"
"Mozambique","2013","All genders","Not applicable","Percent","70.33966"
"Mozambique","2012","All genders","Not applicable","Percent","63.21337"
"Mozambique","2012","Male","Not applicable","Percent","63.51108"
"Mozambique","2012","Female","Not applicable","Percent","62.91355"
"Mozambique","2011","Female","Not applicable","Percent","61.26071"
"Mozambique","2011","Male","Not applicable","Percent","62.11546"
"Mozambique","2011","All genders","Not applicable","Percent","61.68943"
"Mozambique","2010","All genders","Not applicable","Percent","61.63262"
"Mozambique","2010","Male","Not applicable","Percent","62.19408"
"Mozambique","2010","Female","Not applicable","Percent","61.06803"
"Mozambique","2009","Male","Not applicable","Percent","58.99163"
"Mozambique","2009","Female","Not applicable","Percent","58.86338"
"Mozambique","2009","All genders","Not applicable","Percent","58.92768"
"Mozambique","2008","Female","Not applicable","Percent","55.65603"
"Mozambique","2008","All genders","Not applicable","Percent","56.07888"
"Mozambique","2008","Male","Not applicable","Percent","56.49973"
"Mozambique","2007","Female","Not applicable","Percent","53.56112"
"Mozambique","2007","Male","Not applicable","Percent","53.92568"
"Mozambique","2007","All genders","Not applicable","Percent","53.74377"
"Mozambique","2006","Female","Not applicable","Percent","48.6142"
"Mozambique","2006","All genders","Not applicable","Percent","48.90876"
"Mozambique","2006","Male","Not applicable","Percent","49.20237"
"Mozambique","2005","Female","Not applicable","Percent","43.37635"
"Mozambique","2005","Male","Not applicable","Percent","43.94501"
"Mozambique","2005","All genders","Not applicable","Percent","43.661"
"Mozambique","2004","Female","Not applicable","Percent","41.82489"
"Mozambique","2004","All genders","Not applicable","Percent","42.12036"
"Mozambique","2004","Male","Not applicable","Percent","42.41525"
"Mozambique","2002","Female","Not applicable","Percent","23.10054"
"Mozambique","2002","Male","Not applicable","Percent","23.786"
"Mozambique","2002","All genders","Not applicable","Percent","23.44323"
"Mozambique","2001","Female","Not applicable","Percent","23.02793"
"Mozambique","2001","All genders","Not applicable","Percent","23.71332"
"Mozambique","2001","Male","Not applicable","Percent","24.39943"
"Mozambique","2000","Male","Not applicable","Percent","21.41278"
"Mozambique","2000","Female","Not applicable","Percent","20.28074"
"Mozambique","2000","All genders","Not applicable","Percent","20.84647"
"Mozambique","1999","All genders","Not applicable","Percent","17.31043"
"Mozambique","1999","Female","Not applicable","Percent","16.67857"
"Mozambique","1999","Male","Not applicable","Percent","17.94258"
"Mozambique","1998","Male","Not applicable","Percent","14.28901"
"Mozambique","1998","Female","Not applicable","Percent","13.12633"
"Mozambique","1998","All genders","Not applicable","Percent","13.70795"
"Namibia","2010","All genders","Not applicable","Percent","52.28528"
"Namibia","2010","Female","Not applicable","Percent","54.15302"
"Namibia","2010","Male","Not applicable","Percent","50.42813"
"Namibia","2009","Female","Not applicable","Percent","52.72647"
"Namibia","2009","Male","Not applicable","Percent","49.01831"
"Namibia","2009","All genders","Not applicable","Percent","50.86795"
"Namibia","2008","Female","Not applicable","Percent","56.40086"
"Namibia","2008","Male","Not applicable","Percent","52.8872"
"Namibia","2008","All genders","Not applicable","Percent","54.63997"
"Namibia","2006","Male","Not applicable","Percent","54.69786"
"Namibia","2006","All genders","Not applicable","Percent","55.94413"
"Namibia","2006","Female","Not applicable","Percent","57.19738"
"Namibia","2005","Male","Not applicable","Percent","58.33763"
"Namibia","2005","Female","Not applicable","Percent","60.62336"
"Namibia","2005","All genders","Not applicable","Percent","59.47714"
"Namibia","2004","Male","Not applicable","Percent","55.91762"
"Namibia","2004","All genders","Not applicable","Percent","56.96308"
"Namibia","2004","Female","Not applicable","Percent","58.01578"
"Namibia","2003","Male","Not applicable","Percent","58.83261"
"Namibia","2003","Female","Not applicable","Percent","61.44788"
"Namibia","2003","All genders","Not applicable","Percent","60.1354"
"Namibia","2002","All genders","Not applicable","Percent","60.22025"
"Namibia","2002","Male","Not applicable","Percent","58.74456"
"Namibia","2002","Female","Not applicable","Percent","61.70679"
"Namibia","2001","Female","Not applicable","Percent","63.87378"
"Namibia","2001","Male","Not applicable","Percent","60.79192"
"Namibia","2001","All genders","Not applicable","Percent","62.32795"
"Namibia","2000","All genders","Not applicable","Percent","61.22578"
"Namibia","2000","Male","Not applicable","Percent","59.55574"
"Namibia","2000","Female","Not applicable","Percent","62.90329"
"Namibia","1999","Female","Not applicable","Percent","61.55013"
"Namibia","1999","Male","Not applicable","Percent","58.35107"
"Namibia","1999","All genders","Not applicable","Percent","59.94645"
"Namibia","1998","Female","Not applicable","Percent","62.3557"
"Namibia","1998","All genders","Not applicable","Percent","60.7886"
"Namibia","1998","Male","Not applicable","Percent","59.22918"
"Nauru","2014","All genders","Not applicable","Percent","75.67568"
"Nauru","2014","Female","Not applicable","Percent","71.42857"
"Nauru","2014","Male","Not applicable","Percent","79.48718"
"Nauru","2012","All genders","Not applicable","Percent","74.60938"
"Nauru","2012","Male","Not applicable","Percent","79.6875"
"Nauru","2012","Female","Not applicable","Percent","69.53125"
"Nauru","1998","All genders","Not applicable","Percent","71.27371"
"Nauru","1998","Female","Not applicable","Percent","66.66667"
"Nauru","1998","Male","Not applicable","Percent","75.95628"
"Nepal","2014","All genders","Not applicable","Percent","92.96632"
"Nepal","2014","Male","Not applicable","Percent","93.15747"
"Nepal","2014","Female","Not applicable","Percent","92.76647"
"Nepal","2012","All genders","Not applicable","Percent","97.09815"
"Nepal","2012","Female","Not applicable","Percent","96.99579"
"Nepal","2012","Male","Not applicable","Percent","97.19477"
"Nepal","2011","All genders","Not applicable","Percent","88.7312"
"Nepal","2011","Male","Not applicable","Percent","88.97235"
"Nepal","2011","Female","Not applicable","Percent","88.47382"
"Nicaragua","2010","Female","Not applicable","Percent","69.53611"
"Nicaragua","2010","All genders","Not applicable","Percent","67.98748"
"Nicaragua","2010","Male","Not applicable","Percent","66.51277"
"Nicaragua","2008","Male","Not applicable","Percent","68.97524"
"Nicaragua","2008","All genders","Not applicable","Percent","69.85229"
"Nicaragua","2008","Female","Not applicable","Percent","70.77346"
"Nicaragua","2007","Female","Not applicable","Percent","76.02129"
"Nicaragua","2007","All genders","Not applicable","Percent","74.92117"
"Nicaragua","2007","Male","Not applicable","Percent","73.87448"
"Nicaragua","2006","Male","Not applicable","Percent","69.13601"
"Nicaragua","2006","All genders","Not applicable","Percent","70.73809"
"Nicaragua","2006","Female","Not applicable","Percent","72.42277"
"Nicaragua","2005","Female","Not applicable","Percent","40.94374"
"Nicaragua","2005","All genders","Not applicable","Percent","42.19286"
"Nicaragua","2005","Male","Not applicable","Percent","43.38029"
"Nicaragua","2004","Male","Not applicable","Percent","42.33408"
"Nicaragua","2004","All genders","Not applicable","Percent","41.17912"
"Nicaragua","2004","Female","Not applicable","Percent","39.96649"
"Nicaragua","2002","Female","Not applicable","Percent","42.8752"
"Nicaragua","2002","All genders","Not applicable","Percent","43.85362"
"Nicaragua","2002","Male","Not applicable","Percent","44.78926"
"Nicaragua","2001","Female","Not applicable","Percent","41.36659"
"Nicaragua","2001","Male","Not applicable","Percent","44.26242"
"Nicaragua","2001","All genders","Not applicable","Percent","42.84591"
"Nicaragua","2000","Female","Not applicable","Percent","42.18807"
"Nicaragua","2000","All genders","Not applicable","Percent","43.20922"
"Nicaragua","2000","Male","Not applicable","Percent","44.18723"
"Nicaragua","1999","Female","Not applicable","Percent","41.045"
"Nicaragua","1999","All genders","Not applicable","Percent","41.93419"
"Nicaragua","1999","Male","Not applicable","Percent","42.78611"
"Niger","2014","Male","Not applicable","Percent","63.76976"
"Niger","2014","All genders","Not applicable","Percent","58.72097"
