"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Sub-Saharan Africa","Togo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","19.20","SOURCE: MICS 2017"
"SDG: Least Developed Countries","Togo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","17.90","SOURCE: MICS 2017"
"SDG: Sub-Saharan Africa","Togo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","17.90","SOURCE: MICS 2017"
"SDG: Eastern and South-Eastern Asia","Thailand","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","93.10","SOURCE: MICS 2015-2016"
"SDG: South-Eastern Asia","Thailand","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","93.10","SOURCE: MICS 2015-2016"
"SDG: Eastern and South-Eastern Asia","Thailand","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","92.20","SOURCE: MICS 2015-2016"
"SDG: South-Eastern Asia","Thailand","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","92.20","SOURCE: MICS 2015-2016"
"SDG: Central and Southern Asia","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","94.30","SOURCE: MICS 2015-2016"
"SDG: Central Asia","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","94.30","SOURCE: MICS 2015-2016"
"SDG: Landlocked Developing Countries","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","94.30","SOURCE: MICS 2015-2016"
"SDG: Central and Southern Asia","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","94.60","SOURCE: MICS 2015-2016"
"SDG: Central Asia","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","94.60","SOURCE: MICS 2015-2016"
"SDG: Landlocked Developing Countries","Turkmenistan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","94.60","SOURCE: MICS 2015-2016"
"SDG: Eastern and South-Eastern Asia","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","82.50","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","82.50","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","82.50","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","82.50","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","79.00","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","79.00","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","79.00","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Timor-Leste","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","79.00","SOURCE: DHS 2016. Based on the youngest child aged 36-47 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Northern Africa","Tunisia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","72.90","SOURCE: MICS 2018"
"SDG: Northern Africa and Western Asia","Tunisia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","72.90","SOURCE: MICS 2018"
"SDG: Northern Africa","Tunisia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","73.90","SOURCE: MICS 2018"
"SDG: Northern Africa and Western Asia","Tunisia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","73.90","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","50.70","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","50.70","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","50.70","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","54.90","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","54.90","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Uganda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","54.90","SOURCE: DHS 2016. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Europe","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","97.20","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","97.20","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","97.20","SOURCE: MICS 2012"
"SDG: Europe","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.70","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.70","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Ukraine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.70","SOURCE: MICS 2012"
"SDG: Latin America and the Caribbean","Uruguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2013","93.70","SOURCE: MICS 2013"
"SDG: Latin America and the Caribbean","Uruguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2013","91.20","SOURCE: MICS 2013"
"SDG: Eastern and South-Eastern Asia","Viet Nam","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","76.30","SOURCE: MICS 2014"
"SDG: South-Eastern Asia","Viet Nam","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","76.30","SOURCE: MICS 2014"
"SDG: Eastern and South-Eastern Asia","Viet Nam","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","75.60","SOURCE: MICS 2014"
"SDG: South-Eastern Asia","Viet Nam","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","75.60","SOURCE: MICS 2014"
"SDG: Landlocked Developing Countries","Zimbabwe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","37.50","SOURCE: MICS 2019"
"SDG: Sub-Saharan Africa","Zimbabwe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","37.50","SOURCE: MICS 2019"
"SDG: Landlocked Developing Countries","Zimbabwe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","37.20","SOURCE: MICS 2019"
"SDG: Sub-Saharan Africa","Zimbabwe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","37.20","SOURCE: MICS 2019"
